以下为热门股票
@open@ | @volume@ | @swing@
@high@ | @amount@ | @turnover@
@low@ | @totalShare@ | @pb@
@preClose@ | @cvs@ | @pe@
快速通道: | 历届高管成员 历届董事会成员 历届监事会成员 高管动态
姓 名 | 职 务 | 起始日期 | 终止日期
黄敏麟 | 非职工代表监事 | 2019-05-07 | 2022-05-24
陈昌黎 | 职工代表监事 | 2019-05-07 | 2022-05-24
第8届监事会 起始日期:2016-05-06 终止日期:2017-03-09
徐绮俊 | 监事 | 2016-05-06 | 2017-03-09
徐绮俊 | 监事会主席 | 2016-05-06 | 2017-03-09
符许舜 | 监事 | 2016-05-06 | 2019-05-06
符许舜 | 监事会主席 | 2017-03-09 | 2019-05-06
李年 | 监事 | 2017-03-09 | 2018-05-04
黄敏麟 | 监事 | 2018-05-04 | 2019-05-06
陈昌黎 | 职工代表监事 | 2016-05-06 | 2019-05-06
第7届监事会 起始日期:2013-04-12 终止日期:2013-12-16
谢英明 | 监事会主席 | 2013-04-12 | 2013-12-16
谢英明 | 监事 | 2013-04-12 | 2013-12-16
黎启基 | 监事 | 2013-04-12 | 2014-03-19
徐绮俊 | 监事会主席 | 2014-04-29 | 2016-05-05
徐绮俊 | 监事 | 2014-04-29 | 2016-05-05
王东亚 | 职工代表监事 | 2013-04-12 | 2014-08-30
符许舜 | 监事 | 2014-04-29 | 2016-05-05
刘秋元 | 监事 | 2013-04-12 | 2016-05-05
秦鸿志 | 监事 | 2013-04-12 | 2016-05-05
陈先国 | 职工代表监事 | 2013-04-12 | 2016-05-05
闫静 | 职工代表监事 | 2013-04-12 | 2014-10-25
第6届监事会 起始日期:2010-04-13 终止日期:2011-03-07
路倩原 | 监事会主席 | 2010-04-13 | 2011-03-07
路倩原 | 监事 | 2010-04-13 | 2011-03-07
邓寿东 | 监事 | 2010-04-13 | 2011-03-07
关淑贞 | 监事 | 2011-04-15 | 2011-07-22
谢英明 | 监事 | 2011-04-15 | 2013-04-11
谢英明 | 监事会主席 | 2011-04-15 | 2013-04-11
黎启基 | 监事 | 2011-08-17 | 2013-04-11
刘德华 | 职工监事 | 2010-04-13 | 2012-08-03
刘秋元 | 监事 | 2010-04-13 | 2013-04-11
秦鸿志 | 监事 | 2010-04-13 | 2013-04-11
王东亚 | 职工监事 | 2010-04-13 | 2013-04-11
陈先国 | 职工监事 | 2010-04-13 | 2013-04-11
闫静 | 职工代表监事 | 2012-11-19 | 2013-04-11
第5届监事会 起始日期:2007-05-22 终止日期:2010-04-12
刘德华 | 职工监事 | 2007-05-22 | 2010-04-12
陈先国 | 职工监事 | 2007-05-22 | 2010-04-12
邓寿东 | 监事 | 2007-05-22 | 2010-04-12
王东亚 | 职工监事 | 2007-05-22 | 2010-04-12
秦鸿志 | 监事 | 2007-05-22 | 2010-04-12
路倩原 | 监事会主席 | 2007-05-22 | 2010-04-12
路倩原 | 监事 | 2007-05-22 | 2010-04-12
刘秋元 | 监事 | 2007-05-22 | 2010-04-12
第4届监事会 起始日期:2004-04-28 终止日期:2007-05-21
刘秋元 | 监事 | 2004-04-28 | 2007-05-21
朱玉梅 | 职工代表监事 | 2004-04-28 | 2007-05-21
陈先国 | 职工代表监事 | 2004-04-28 | 2007-05-21
何冰 | 职工代表监事 | 2004-04-28 | 2007-05-21
邓如碧 | 监事会主席 | 2004-04-28 | 2007-05-21
邓寿东 | 监事 | 2004-04-28 | 2007-05-21
秦鸿志 | 监事 | 2004-04-28 | 2007-05-21
邓如碧 | 监事 | 2004-04-28 | 2007-05-21
↑返回页顶↑


记录登录状态一个月
登录
                    
                    
                        找回密码
                        登录帮助
                    
                    
                        还不是新浪会员？
                        新用户注册
